OB,KODE_OBJEK,NAMA,HARGA_SATUAN
OB,5-01-MJB01-006-000-00,D5 - MJB DEXTROSE 5% INFUS Generik,1.0
OB,5-01-PPG01-00224,Direct Thermal Label Blank,237.536
OB,5-01-KDS01-003-000-01,"DURIAN MANIS, BARC. 103071, UK. 2,8 X 3,1 CM (BIRU   HITAM)",1.0
OB,5-01-KDS01-00170,"DURIAN MANIS, BARC. 103071, UK. 2,8 X 3,1 CM (BIRU HITAM)",26.3749
OB,5-01-WAX01-233-000-01,Eco Palm Logo Label,1.0
OB,5-01-IDG01-003-000-00,Etiket Bulat Menthol 1,1.0
OB,5-01-IDG01-5-01-00102,Etiket Bulat Menthol 1 Bahan Emas,75.7607
OB,5-01-IDG01-004-000-00,Etiket Bulat Menthol 2,1.0
OB,5-01-IDG01-5-01-00103,Etiket Bulat Menthol 2 Bahan Emas,33.7786
OB,5-01-IDG01-005-000-00,Etiket Bulat Menthol 3,1.0
OB,5-01-IDG01-5-01-00104,Etiket Bulat Menthol 3 Bahan Emas,1.0
OB,5-01-IDG01-008-000-00,"Etiket Menthol Cone 2,5 gr, Barc 8 993571 003995",1.0
OB,5-01-IDG01-007-000-00,"Etiket Menthol Cone 4 gr, Barc 8 993571 004008",1.0
OB,5-01-IDG01-006-000-00,"Etiket Menthol Cone 5,5 gr, Barc 8 993571 004015",1.0
OB,5-01-MSP01-003-000-03,Etiket QC Passed Kecil,1.0
OB,5-01-STI01-004-000-01,EXTRA 5000 Yards,25.4956
OB,5-01-WAX01-280-000-00,Flower of Life gold ( 638) Mint- Lemon Grass- Frankincense,164.6011
OB,5-01-WAX01-278-000-00,Flower of Life purple (639) Lavender - Mandarin - Vanilla,1.0
OB,5-01-INT01-005-000-00,"Gitas Inj, Uk. 27 x 18 mm, Desain Baru (WO No. 130/RnD-Kemasan/X/2012),  UK. 27 X 18 MM, APROVL DSG NO. 500/LJ/X/2012 TGL. 30-10-2012",1.0
OB,5-01-LMI01-022-000-02,GLOBAL EAGLE GOLD BP (KECIL),1.0
OB,5-01-KDW02-00154,"GUNTING MADE IN INDONESIA (BULAT, HITAM), TRANSP.",12.4454
OB,5-01-HTN01-004-000-02,"HTN'S FRUIT, OVAL, UK, 3X2 CM (EMAS KILAP)",1.0
OB,5-01-TRS01-002-000-01,Identifikasi Status Pass (QA Pass Hijau),147.6271
OB,5-01-INK01-001-000-03,INK CLINIQUE UK 4*1CM,1.0
OB,5-01-JBI01-001-000-00,Inner Dus Pakukhan (Model Button Lock) Uk. 13.5 x 9 x 6 cm,1.0
OB,5-01-GDG01-007-000-01,"INNERFRAME SPLICING TAPE, LABEL REEL SIZE 75 X 35 MM, PACKAGING (LABEL/ROLL) : 1200, MATERIAL BLACK PAPER E-510099-00",32.0967
OB,5-01-INT01-007-000-02,"Interco Inj Amp, Desain Baru (WO No. 134/RnD-Kemasan/X/2012), UK. 27 X 18 MM, DSG NO. 498/LJ/X/2012, APPROVL TGL. 30-10-2012, CR DATED 23-11-2012, S1060002",1.0
OB,5-01-INT01-004-000-00,"Interco Inj Btl, Desain Baru (WO No. 134/RnD-Kemasan/X/2012), uk. 34x40 mm, Approval No. 501/X/2012, TGL. 29-10-2012, CR DATED 05-02-2013, S1061002",51.7376
OB,5-01-APL01-022-000-00,Isolasi Lakban Angkasa Pura Logistik Cabang Banjarmasin,1.0
OB,5-01-APL01-021-000-00,Isolasi Lakban Angkasa Pura Logistik Cabang Manado,1.0
OB,5-01-MSP01-072-000-01,"JAWA MERAH OVAL BESAR, UK. 13 X 4 CM, 2W (MERAH+HITAM), PLONG OVAL 1/2 PUTUS",1.0
OB,5-01-DMI01-065-000-00,KATUN BULAT DM 2 CM #11,1.0
OB,5-01-DMI01-032-000-01,Katun Spandek 12-14 uk. 2.2 x 2.2 cm,1.0
OB,5-01-DMI01-061-000-00,"KATUN SPANDEK KOTAK SIZE 24-26, UK. 2,7 X 2,7 CM #70",1.0
OB,5-01-DMI01-058-000-00,"KATUN SPANDEK KOTAK UK 15-17, UK. 2,2 X 2,2 CM",1.0
OB,5-01-OTS02-117-000-01,"Kertas Stiker Blank, Uk : 175 mm x 83 mm, CILSTLTCOB, 1 Roll = 2.000 pcs ",1.0
OB,5-01-OTS02-118-000-05,"Kertas Stiker Blank, ukuran :  8.20 x 3.50 cm, CILSTLTCOC, 1 Roll = 2.000 pcs",1.0
OB,5-01-AVN01-001-000-00,KETERANGAN PENGGUNAAN CAT FLOURESCENT (LABEL SUZUKA SPRAY),46.9531
OB,5-01-DMI01-054-000-01,kotak Spandek Ukuran 24 - 26  #61,1.0
OB,5-01-ADI01-008-000-00,"Label  cf 5 x 2,5 cm 1 Line, Thermal Paper Putih",25.9235
OB,5-01-OTS02-161-000-02,"Label  Outer KA-EN 3B SB 500mL (Sod. Lactate 1.1), CILDMS3Bo1, Ukuran: 80 x 115 mm, Semicoat Adhesive Label, 3 Warna Sesuai Approval Otsuka no. FR/MPD/2/SB/179/2016 tgl 25 Aug 2015",142.2595
OB,5-01-CPC01-040-000-00,Label  Pita PFS 14,1.0
OB,5-01-OTS02-100-000-01,"Label 25% Dextrose Inj. BP 25 ML SPC/CR/227/16, Ukuran : 27 x 39 mm, Semicoat Adhesive Label, 4 warna sesuai approval Otsuka no. FR/MPD/2/SV/143/2016 tgl 14 Juli 2016,CILSPN25D3",1.0
OB,5-01-SGN01-004-000-00,Label AAU - Bolt Putih Polos uk. 4 x 11 cm,1.0
OB,5-01-SGN01-001-000-00,LABEL AAU RETAIL STEP 1 (WARNA BIRU),1.0
OB,5-01-SGN01-002-000-02,"LABEL AAU RETAIL STEP 3 (WARNA ORANGE), 7,4 X 3,5 CM",1.0
OB,5-01-SGN01-005-000-03,"LABEL AAU RETAIL STEP 4 (WARNA KUNING), 7,4 X 3,5 CM",1.0
